Company,Valuation ($B),Year Joined,Country,City,Industry,Select Inverstors,Founded Year,Financial Stage,Investors Count,Deal Terms,Total Raised($),Total Raised Ranges($),Transition Time
CureFit,1.5,2021,India,Bengaluru,Health,"Chiratae Ventures, Accel, Kalaari Capital",2016,None,42,5,679400000.0,1000001-1000000000,5
Olist,1.5,2021,Brazil,Curitiba,E-commerce & direct-to-consumer,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund",2015,None,13,2,318750000.0,1000001-1000000000,6
StoreDot,1.5,2022,Israel,Herzliya,Other,"Samsung Ventures, SingulariTeam, BP Ventures",2012,None,14,4,2060000000.0,1000000001-1000000000000,10
Spendesk,1.5,2022,France,Paris,Fintech,"Index Ventures, Eight Roads Ventures, General Atlantic",2015,None,14,2,300340000.0,1000001-1000000000,7
Veriff,1.5,2022,Estonia,Tallinn,Artificial intelligence,"Accel, Institutional Venture Partners, Tiger Global Management",2015,None,15,2,192320000.0,1000001-1000000000,7
ElasticRun,1.5,2022,India,Pune,"Supply chain, logistics, & delivery","Kalaari Capital, Norwest Venture Partners, Prosus Ventures",2016,None,9,4,432110000.0,1000001-1000000000,6
Gymshark,1.45,2020,United Kingdom,Solihull,E-commerce & direct-to-consumer,General Atlantic,2012,None,1,1,3000000000.0,1000000001-1000000000000,8
Einride,1.44,2021,Sweden,Stockholm,Auto & transportation,"Temasek,	BUILD Capital Partners, 	Northzone Ventures",2016,None,20,4,150820000.0,1000001-1000000000,5
Figment,1.4,2021,Canada,Toronto,Internet software & services,"Bonfire Ventures, Two Sigma Ventures, FJ Labs",2018,None,24,2,163840000.0,1000001-1000000000,3
Deliverect,1.4,2022,Belgium,Ghent,Fintech,"Newion Partners, SmartFin Capital, OMERS Ventures",2018,None,8,1,235890000.0,1000001-1000000000,4
Firebolt,1.4,2022,Israel,Tel Aviv,Data management & analytics,"TLV Partners, Zeev Ventures, Bessemer Venture Partners",2019,None,9,1,2640000000.0,1000000001-1000000000000,3
Cabify,1.4,2018,Spain,Madrid,Auto & transportation,"Seaya Ventures, Otter Rock Capital, Rakuten",2011,None,22,4,481470000.0,1000001-1000000000,7
Deezer,1.4,2018,France,Paris,Internet software & services,"Orange Digital Ventures, Access Industries",2007,Acquired,11,3,481800000.0,1000001-1000000000,11
Epidemic Sound,1.4,2021,Sweden,Stockholm,Internet software & services,"EQT Partners, Blackstone",2009,None,9,6,476140000.0,1000001-1000000000,12
Rebel Foods,1.4,2021,India,Pune,E-commerce & direct-to-consumer,"Sequoia Capital India, Lightbox Ventures, Coatue Management",2011,None,18,7,495210000.0,1000001-1000000000,10
Five Star Business Finance,1.4,2021,India,Chennai,Other,"Sequoia Capital India, Tiger Global Management, Tencent",1984,None,7,4,459780000.0,1000001-1000000000,37
Scalable Capital,1.4,2021,Germany,Munich,Fintech,"BlackRock, Tengelmann Ventures, Holtzbrinck Ventures",2014,None,10,4,314280000.0,1000001-1000000000,7
Tripledot Studios,1.4,2022,United Kingdom,London,Mobile & telecommunications,"Lightspeed Venture Partners, Access Industries, Eldridge",2017,None,5,2,2020000000.0,1000000001-1000000000000,5
Neon,1.38,2022,Brazil,Sao Paulo,Fintech,"Propel Venture Partners, Monashees+, BBVA",2016,None,16,2,720420000.0,1000001-1000000000,6
Klook,1.35,2018,Hong Kong,Central,Travel,"Sequoia Capital China, Goldman Sachs, Matrix Partners China",2014,None,14,3,721190000.0,1000001-1000000000,4
Motorway,1.33,2021,United Kingdom,London,E-commerce & direct-to-consumer,"Marchmont Ventures, BMW i Ventures, Index Ventures",2017,None,10,1,274590000.0,1000001-1000000000,4
RIDI,1.33,2022,South Korea,Seoul,E-commerce & direct-to-consumer,"Atinum Investment, Company K Partners, GIC",2008,None,14,5,331230000.0,1000001-1000000000,14
GPclub,1.32,2018,South Korea,Seoul,Other,Goldman Sachs,2003,None,1,1,66160000.0,1000001-1000000000,15
Trax,1.3,2019,Singapore,Artificial intelligence,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures",None,2010,None,10,5,1012999999.9999999,1000000001-1000000000000,9
InSightec,1.3,2020,Israel,Tirat Carmel,Health,"York Capital Management, GE Healthcare, Koch Disruptive Technologies",1999,None,11,3,559050000.0,1000001-1000000000,21
Konfio,1.3,2021,Mexico,Mexico City,Fintech,"Kaszek Ventures, QED Investors, International Finance Corporation",2013,None,16,3,824590000.0,1000001-1000000000,8
TravelPerk,1.3,2022,Spain,Barcelona,Travel,"LocalGlobe, Kinnevik, Felix Capital",2015,None,15,3,408580000.0,1000001-1000000000,7
OVO Energy,1.28,2019,United Kingdom,Bristol,Other,"Mitsubishi Corporation, Mayfair Equity Partners",2009,None,2,2,2560000000.0,1000000001-1000000000000,10
Marshmallow,1.25,2021,United Kingdom,London,Fintech,"Passion Capital, Hedosophia, 	Outrun Ventures",2017,None,6,2,116200000.0,1000001-1000000000,4
Flipdish,1.25,2022,Ireland,Dublin,Internet software & services,"Tencent Holdings, Tiger Global Management, Global Founders Capital",2015,None,6,1,156340000.0,1000001-1000000000,7
BrewDog,1.24,2017,United Kingdom,Aberdeen,Consumer & retail,"TSG Consumer Partners, Crowdcube",2007,None,4,1,296770000.0,1000001-1000000000,10
Nexii,1.23,2021,Canada,Vancouver,Other,"Trane Technologies, Honeywell",2020,None,4,2,101970000.0,1000001-1000000000,1
Spiber,1.22,2021,Japan,Tsuruoka,Other,"Cool Japan Fund, JAFCO, The Carlyle Group",2007,None,22,2,911620000.0,1000001-1000000000,14
Insider,1.22,2022,Turkey,Istanbul,Internet software & services,"Wamda Capital, Endeavor, Riverwood Capital",2012,None,9,3,166200000.0,1000001-1000000000,10
Workhuman,1.2,2020,Ireland,Dublin,Internet software & services,ICG,1999,None,3,3,11300000.0,1000001-1000000000,21
Ada Support,1.2,2021,Canada,Toronto,Artificial intelligence,"Version One Ventures, Bessemer Venture Partners, FirstMark Capital",2016,None,11,1,190730000.0,1000001-1000000000,5
Forto,1.2,2021,Germany,Berlin,"Supply chain, logistics, & delivery","Cherry Ventures, Northzone Ventures, Global Founders Capital",2016,None,20,3,615830000.0,1000001-1000000000,5
Rohlik,1.2,2021,Czech Republic,Prague,"Supply chain, logistics, & delivery","Partech Partners, Index Ventures, Quadrille Capital",2019,None,10,1,3000000000.0,1000000001-1000000000000,2
UpGrad,1.2,2021,India,Mumbai,Edtech,"Qualcomm Ventures, Accel, Canaan Partners",2015,None,5,3,361230000.0,1000001-1000000000,6
Oda,1.2,2021,Norway,Oslo,E-commerce & direct-to-consumer,"Kinnevik, Softbank Group, Prosus Ventures",2013,None,10,6,201960000.0,1000001-1000000000,8
CarDekho,1.2,2021,India,Jaipur,E-commerce & direct-to-consumer,"Sequoia Capital India, Hillhouse Capital Management, Sunley House Capital Management",2008,None,22,6,536100000.0,1000001-1000000000,13
MyGlamm,1.2,2021,India,Mumbai,E-commerce & direct-to-consumer,"L'Occitane, Trifecta Capital, Bessemer Venture Partners",2015,None,18,6,283880000.0,1000001-1000000000,6
Pristyn Care,1.4,2021,India,Gurugram,Health,"Sequoia Capital India, Hummingbird Ventures, Epiq Capital",2018,None,16,2,176670000.0,1000001-1000000000,3
Merama,1.2,2021,Mexico,Mexico City,E-commerce & direct-to-consumer,"SoftBank Latin America Fund, Advent International, Balderton Capital",2020,None,12,3,4450000000.0,1000000001-1000000000000,1
LivSpace,1.2,2022,India,Bengaluru,E-commerce & direct-to-consumer,"Jungle Ventures, Helion Venture Partners, INGKA Investments",2015,None,21,3,371690000.0,1000001-1000000000,7
Xpressbees,1.2,2022,India,Pune,"Supply chain, logistics, & delivery","Norwest Venture Partners, Investcorp, Blackstone",2012,None,13,3,472940000.0,1000001-1000000000,10
L&P Cosmetic,1.19,2016,South Korea,Seoul,Consumer & retail,CDIB Capital,2009,None,4,4,118640000.0,1000001-1000000000,7
LifeMiles,1.15,2015,Colombia,Bogota,Other,Advent International,2011,None,1,1,343700000.0,1000001-1000000000,4
Doctolib,1.14,2019,France,Paris,Health,"BPI France, Kerala Ventures, Accel",2013,None,12,3,266980000.00000003,1000001-1000000000,6
OVH,1.1,2016,France,Roubaix,Other,"KKR, TowerBrook Capital Partners",1999,None,10,1,1243000000.0,1000000001-1000000000000,17
GetYourGuide,1.1,2019,Germany,Berlin,Travel,"Spark Capital, Highland Europe, Sunstone Capital",2009,None,22,3,884790000.0,1000001-1000000000,10
Sennder,1.1,2021,Germany,Berlin,"Supply chain, logistics, & delivery","Accelm Scania Growth Capital, Lakestar",2015,None,14,3,310020000.0,1000001-1000000000,6
Nexthink,1.1,2021,Switzerland,Prilly,Data management & analytics,"Auriga, Galeo Ventures, Highland Europe",2004,None,13,2,329900000.0,1000001-1000000000,17
Zego,1.1,2021,United Kingdom,London,Fintech,"LocalGlobe, Balderton Capital, Target Global",2016,None,9,2,255500000.0,1000001-1000000000,5
Hailo,1.0,2021,Israel,Tel Aviv,Artificial intelligence,"Glory Ventures, Maniv Mobility",2017,None,18,2,2170000000.0,1000000001-1000000000000,4
CoinDCX,1.1,2021,India,Maharashtra,Fintech,"Polychain Capital, Coinbase Ventures, Jump Capital",2017,None,17,1,109400000.0,1000001-1000000000,4
Carousell,1.1,2021,Singapore,E-commerce & direct-to-consumer,"500 Global, Rakuten Ventures, Golden Gate Ventures",None,2012,None,16,7,4430000000.0,1000000001-1000000000000,9
apna,1.1,2021,India,Bengaluru,Internet software & services,"Sequoia Capital India, Rocketship.vc, Lightspeed India Partners",2019,None,9,2,192500000.0,1000001-1000000000,2
Enpal,1.1,2021,Germany,Berlin,Internet software & services,"HV Capital, Softbank Group, BlackRock",2017,None,19,2,750370000.0,1000001-1000000000,4
Acko General Insurance,1.1,2021,India,Bengaluru,Fintech,"Intact Ventures, Munich Re Ventures, General Atlantic",2016,None,22,4,4280000000.0,1000000001-1000000000000,5
The Bank of London,1.1,2021,United Kingdom,London,Fintech,"Mangrove Capital Partners,14W. ForgeLight",2018,None,3,1,900000000.0,1000001-1000000000,3
GlobalBees,1.1,2021,India,New Delhi,E-commerce & direct-to-consumer,"Chiratae Ventures, SoftBank Group, Trifecta Capital",2021,None,8,1,291500000.0,1000001-1000000000,0
LEAD School,1.1,2022,India,Andheri,Edtech,"WestBridge Capital, GSV Ventures, Elevar Equity",2012,None,6,1,1660000000.0,1000000001-1000000000000,10
eSentire,1.1,2022,Canada,Waterloo,Cybersecurity,"Edison Partners, Georgian Partners, VentureLink",2001,None,12,2,287880000.0,1000001-1000000000,21
Radius Payment Solutions,1.07,2017,United Kingdom,Crewe,Fintech,Inflexion Private Equity,1990,None,1,1,200110000.0,1000001-1000000000,27
Rivigo,1.07,2019,India,Gurgaon,"Supply chain, logistics, & delivery","SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors",2014,None,7,7,319890000.0,1000001-1000000000,5
Mamaearth,1.07,2021,India,Gurgaon,E-commerce & direct-to-consumer,"Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners",2016,None,11,3,153300000.0,1000001-1000000000,5
Aprogen,1.04,2019,South Korea,Seongnam-Si,Health,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical",2000,None,2,3,62120000.0,1000001-1000000000,19
OrCam Technologies,1.03,2018,Israel,Jerusalem,Artificial intelligence,"Intel Capital, Aviv Venture Capital",2010,None,5,2,77400000.0,1000001-1000000000,8
Snapdeal,1.0,2014,India,New Delhi,E-commerce & direct-to-consumer,"SoftBankGroup, Blackrock, Alibaba Group",2008,Divestiture,25,7,1776000000.0,1000000001-1000000000000,6
InMobi,1.0,2014,India,Bengaluru,Mobile & telecommunications,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",2007,None,8,4,510600000.0,1000001-1000000000,7
BenevolentAI,1.0,2015,United Kingdom,London,Artificial intelligence,Woodford Investment Management,2013,None,7,4,345550000.0,1000001-1000000000,2
MindMaze,1.0,2016,Switzerland,Lausanne,Health,Hinduja Group,2012,None,5,3,348500000.0,1000001-1000000000,4
Cell C,1.0,2017,South Africa,Midrand,Mobile & telecommunications,"Blue Label Telecoms, Net1 UEPS Technologies",2000,None,2,2,546970000.0,1000001-1000000000,17
Revolution Precrafted,1.0,2017,Philippines,Manila,Other,"K2 Global, 500 Startups",2015,None,2,2,15400000.0,1000001-1000000000,2
WeLab,1.0,2017,Hong Kong,Fintech,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund",None,2013,None,13,3,8960000000.0,1000000001-1000000000000,4
HMD Global,1.0,2018,Finland,Espoo,Mobile & telecommunications,Ginko Ventures,2016,None,6,1,3300000000.0,1000000001-1000000000000,2
Movile,1.0,2018,Brazil,Sao Paulo,Mobile & telecommunications,"Innova Capital - FIP, 3G Capital Management, Prosus Ventures",1998,Acquired,4,None,3940000000.0,1000000001-1000000000000,20
Omio,1.0,2018,Germany,Berlin,Travel,"Lakestar, Battery Ventures, New Enterprise Associates",2013,None,22,3,3960000000.0,1000000001-1000000000000,5
BitFury,1.0,2018,Netherlands,Amsterdam,Hardware,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital",2011,Acquired,22,3,1700000000.0,1000000001-1000000000000,7
iFood,1.0,2018,Brazil,Osasco,"Supply chain, logistics, & delivery","Movile, Just Eat, Naspers",2011,None,6,2,591860000.0,1000001-1000000000,7
Ynsect,1.0,2019,France,Evry,Other,"Astanor Ventures, Upfront Ventures, IDInvest Partners",2011,None,20,1,393400000.0,1000001-1000000000,8
Liquid,1.0,2019,Japan,Tokyo,Fintech,"JAFCO Co, Bitmain Technologies, IDG Capital",2014,None,8,2,1580000000.0,1000000001-1000000000000,5
Yanolja,1.0,2019,South Korea,Seoul,Travel,"SBI Investment Korea, Partners Investment, GIC",2005,None,11,4,2036000000.0,1000000001-1000000000000,14
Meero,1.0,2019,France,Paris,Artificial intelligence,"Aglae Ventures, Global Founders Capital, Alven Capital",2016,None,10,3,297500000.0,1000001-1000000000,3
SumUp,1.0,2019,United Kingdom,London,Fintech,"American Express Ventures, Goldman Sachs, Bain Capital Credit",2011,Acquired,18,2,1365000000.0,1000000001-1000000000000,8
EBANX,1.0,2019,Brazil,Curitiba,Fintech,"FTV Capital, Endeavor",2012,None,3,1,4600000000.0,1000000001-1000000000000,7
Hotmart,1.0,2020,Netherlands,Amsterdam,E-commerce & direct-to-consumer,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic",2011,Acquired,6,1,130300000.00000001,1000001-1000000000,9
Emerging Markets Property Group,1.0,2020,United Arab Emirates,Dubai,Other,"OLX Group, KCK Group, EXOR Seeds",2015,None,3,1,2790000000.0,1000000001-1000000000000,5
Infobip,1.0,2020,Croatia,Vodnjan,Mobile & telecommunications,One Equity Partners,2006,None,3,1,8000000000.0,1000000001-1000000000000,14
Playco,1.0,2020,Japan,Tokyo,Other,"Sozo Ventures, Caffeinated Capital, Sequoia Capital",2020,None,9,1,1000000000.0,1000001-1000000000,0
Gousto,1.7,2020,United Kingdom,London,"Supply chain, logistics, & delivery","MMC Ventures, BGF Ventures, Unilever Ventures",2012,None,16,4,3610000000.0,1000000001-1000000000000,8
MadeiraMadeira,1.0,2021,Brazil,Parana,E-commerce & direct-to-consumer,"Flybridge Capital Partners, SoftBank Group, Monashees+",2009,None,10,2,304580000.0,1000001-1000000000,12
PPRO,1.0,2021,United Kingdom,London,Fintech,"Wellington Management, Eurazeo, Citi Ventures",2006,None,9,1,3700000000.0,1000000001-1000000000000,15
DriveNets,1.0,2021,Israel,Ra'anana,Internet software & services,"Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners",2015,None,10,1,3250000000.0,1000000001-1000000000000,6
Flash Express,1.0,2021,Thailand,Bangkok,"Supply chain, logistics, & delivery","SCB 10X, Krungsri Finnovate, eWTP Capital",2017,None,10,2,3600000000.0,1000000001-1000000000000,4
Aqua Security,1.0,2021,Israel,Ramat Gan,Cybersecurity,"TLV Partners, Lightspeed Venture Partners, M12",2015,None,9,3,2650000000.0,1000000001-1000000000000,6
PatSnap,1.0,2021,Singapore,Internet software & services,"Sequoia Capital China, Shunwei Capital Partners, Qualgro",None,2007,None,10,3,352320000.0,1000001-1000000000,14
Shift Technology,1.0,2021,France,Paris,Artificial intelligence,"Griffin Gaming Partners, Andreessen Horowitz, Battery Ventures",2014,None,11,3,319720000.0,1000001-1000000000,7
TensTorrent,1.0,2021,Canada,Toronto,Artificial intelligence,"Eclipse Ventures, Fidelity Investments, Moore Capital Management",2016,None,4,1,221030000.0,1000001-1000000000,5
LetsGetChecked,1.0,2021,Ireland,Dublin,Health,"Optum Ventures, Qiming Venture Partners, Transformation Capital",2015,None,10,2,2630000000.0,1000000001-1000000000000,6
Carro,1.0,2021,Singapore,E-commerce & direct-to-consumer,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures",None,2015,None,31,4,684520000.0,1000001-1000000000,6
Tractable,1.0,2021,United Kingdom,London,Artificial intelligence,"Insight Partners, Ignition Partners, Georgian Partners",2014,None,10,3,119830000.0,1000001-1000000000,7
Bringg,1.0,2021,Israel,Tel Aviv,"Supply chain, logistics, & delivery","Salesforce Ventures, next47, Pereg Ventures",2013,None,14,3,184500000.0,1000001-1000000000,8
JoyTunes,1.0,2021,Israel,Tel Aviv,Edtech,"Genesis Partners, Aleph, Insight Partners",2011,None,10,3,91500000.0,1000001-1000000000,10
Visier,1.0,2021,Canada,Vancouver,Internet software & services,"Foundation Capital, 	Summit Partners, Adams Street Partners",2010,None,5,3,216500000.0,1000001-1000000000,11
Blinkit,1.01,2021,India,Gurgaon,"Supply chain, logistics, & delivery","Tiger Global Management, Sequoia Capital India, SoftBank Group",2013,None,9,9,573820000.0,1000001-1000000000,8
Kitopi,1.0,2021,United Arab Emirates,Dubai,"Supply chain, logistics, & delivery","CE-Ventures, BECO Capital, Nordstar",2018,None,17,1,502200000.0,1000001-1000000000,3
bolttech,1.0,2021,Singapore,Fintech,"Mundi Ventures, Doqling Capital Partners, Activant Capital",None,2018,None,17,1,502200000.0,1000001-1000000000,3
Lunar,1.0,2021,Denmark,Aarhus,Fintech,"SEED Capital, Greyhound Capital, Socii Capital",2015,None,18,1,371290000.0,1000001-1000000000,6
GO1,1.0,2021,Australia,Brisbane,Internet software & services,"Y Combinator, M12, SEEK",2015,None,23,3,273250000.0,1000001-1000000000,6
BlackBuck,1.0,2021,India,Bengaluru,"Supply chain, logistics, & delivery","Accel, Sands Capital, International Finance Corporation",2015,None,20,7,330880000.0,1000001-1000000000,6
NIUM,1.0,2021,Singapore,Fintech,"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures",None,2014,None,22,3,259100000.00000003,1000001-1000000000,7
Unico,1.0,2021,Brazil,Sao Paulo,Artificial intelligence,"Big Bets, General Atlantic, SOFTBANK Latin America Ventures",2007,None,5,1,235940000.0,1000001-1000000000,14
Freshbooks,1.0,2021,Canada,Toronto,Fintech,"Accomplice, Oak Investment Partners, Georgian Partners",2004,None,9,3,203750000.0,1000001-1000000000,17
Gelato,1.0,2021,Norway,Oslo,E-commerce & direct-to-consumer,"Greylock Partners, Google Ventures, BlackRock",2007,None,9,4,293610000.0,1000001-1000000000,14
Dunamu,1.0,2021,South Korea,Seoul,Fintech,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",2012,None,10,2,72440000.0,1000001-1000000000,9
Cider,1.0,2021,Hong Kong,E-commerce & direct-to-consumer,"Andreessen Horowitz, DST Global, IDG Capital",None,2020,None,8,2,131460000.00000001,1000001-1000000000,1
Berlin Brands Group,1.0,2021,Germany,Berlin,E-commerce & direct-to-consumer,"Ardian, Bain Capital",2005,None,2,1,938710000.0,1000001-1000000000,16
Agile Robots,1.0,2021,Germany,Munich,Hardware,"Hillhouse Capital Management, Sequoia Capital China, Linear Venture",2018,None,14,1,3500000000.0,1000000001-1000000000000,3
Xendit,1.0,2021,Indonesia,Jakarta,Fintech,"Accel, Y Combinator, Amasia",2014,None,8,1,215010000.0,1000001-1000000000,7
TrueLayer,1.0,2021,United Kingdom,London,Fintech,"Anthemis, Connect Ventures, Northzone Ventures",2016,None,17,3,271800000.0,1000001-1000000000,5
Ninja Van,1.0,2021,Singapore,"Supply chain, logistics, & delivery","B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution",None,2014,None,15,6,976500000.0,1000001-1000000000,7
Vedantu,1.0,2021,India,Bengaluru,Edtech,"Accel, Tiger Global Management, Omidyar Network",2014,None,13,5,308380000.0,1000001-1000000000,7
Ajaib,1.0,2021,Indonesia,Jakarta,Fintech,"Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners",2018,None,12,1,245220000.0,1000001-1000000000,3
Licious,1.0,2021,India,Bengaluru,E-commerce & direct-to-consumer,"3one4 Capital Partners, Bertelsmann India Investments, Vertex Ventures SE Asia",2015,None,21,5,3380000000.0,1000000001-1000000000000,6
Swile,1.0,2021,France,Montpellier,Fintech,"Index Ventures, IDInvest Partners, Daphni",2016,None,8,2,328430000.0,1000001-1000000000,5
MobiKwik,1.0,2021,India,Gurugram,Fintech,"Sequoia Capital India, The Times Group, GMO VenturePartners",2009,None,31,9,248960000.0,1000001-1000000000,12
Zopa,1.0,2021,United Kingdom,London,Fintech,"IAG Capital Partners, Augmentum Fintech, Northzone Ventures",2005,None,17,2,671930000.0,1000001-1000000000,16
Dental Monitoring,1.0,2021,France,Paris,Health,"Vitruvian Partners, Merieux Equity Partners, Straumann",2014,None,3,1,210080000.0,1000001-1000000000,7
CargoX,1.0,2021,Brazil,Sao Paulo,"Supply chain, logistics, & delivery","Valor Capital Group, Lightrock, Softbank Group",2015,None,18,3,377930000.0,1000001-1000000000,6
Razor,1.0,2021,Germany,Berlin,Consumer & retail,"Global Founders Capital, 468 Capital, Redalpine Venture Partners",2020,None,13,2,558710000.0,1000001-1000000000,1
Mensa Brands,1.0,2021,India,Bengaluru,Other,"Accel, Falcon Edge Capital, Norwest Venture Partners",2021,None,13,3,228580000.0,1000001-1000000000,0
NoBroker,1.0,2021,India,Bengaluru,Internet software & services,"General Atlantic, Elevation Capital, BEENEXT",2014,None,14,5,371400000.0,1000001-1000000000,7
Slice,1.0,2021,India,Bengaluru,Fintech,"Gunosy Capital, Blume Ventures, Das Capital",2015,None,30,3,303730000.0,1000001-1000000000,6
Thought Machine,1.0,2021,United Kingdom,London,Fintech,"British Patient Capital, SEB Venture Capital, IQ Capital",2014,None,15,3,402050000.0,1000001-1000000000,7
Clara,1.0,2021,Mexico,Mexico City,Fintech,"DST Global, General Catalyst, Monashees+",2020,None,14,2,108500000.0,1000001-1000000000,1
Pet Circle,1.0,2021,Australia,Alexandria,E-commerce & direct-to-consumer,"Prysm Capital, Baillie Gifford & Co., TDM Growth Partners",2011,None,6,1,126350000.0,1000001-1000000000,10
Lydia,1.0,2021,France,Paris,Fintech,"NewAlpha, XAnge Private Equity, Tencent Holdings",2011,None,12,3,260329999.99999997,1000001-1000000000,10
SellerX,1.0,2021,Germany,Berlin,E-commerce & direct-to-consumer,"Cherry Ventures, Felix Capital, 83North",2020,None,13,1,766700000.0,1000001-1000000000,1
VOI,1.0,2021,Sweden,Stockholm,Travel,"Vostok New Ventures, The Raine Group, Balderton Capital",2018,None,33,3,517900000.0,1000001-1000000000,3
Kopi Kenangan,1.0,2021,Indonesia,Jakarta,Consumer & retail,"Horizons Ventures, Sequoia Capital India, Alpha JWC Ventures",2017,None,13,1,2330000000.0,1000000001-1000000000000,4
InFarm,1.0,2021,Germany,Berlin,Other,"Atomico, Hanaco Venture Capital, TriplePoint Capital",2013,None,22,2,601590000.0,1000001-1000000000,8
ONE,1.0,2021,Singapore,Internet software & services,"Temasek, Guggenheim Investments, Qatar Investment Authority",None,2011,None,11,1,4860000000.0,1000000001-1000000000000,10
Fractal Analytics,1.0,2022,India,Mumbai,Data management & analytics,"TPG Capital, Apax Partners, TA Associates",2000,None,6,3,6880000000.0,1000000001-1000000000000,22
Assent Compliance,1.0,2022,Canada,Ottawa,"Supply chain, logistics, & delivery","Vista Equity Partners, Warburg Pincus, First Ascent Ventures",2005,None,8,3,501640000.0,1000001-1000000000,17
Pentera,1.0,2022,Israel,Petah Tikva,Cybersecurity,"AWZ Ventures, Blackstone, Insight Partners",2015,None,6,1,1850000000.0,1000000001-1000000000000,7
Darwinbox,1.0,2022,India,Hyderabad,Internet software & services,"Lightspeed India Partners, Sequoia Capital India, Endiya Partners",2015,None,10,2,106700000.0,1000001-1000000000,7
Betterfly,1.0,2022,Chile,Santiago,Artificial intelligence,"QED Investors, DST Global, Endeavor",2018,None,13,1,202500000.0,1000001-1000000000,4
Dune Analytics,1.0,2022,Norway,Oslo,Data management & analytics,"Multicoin Capital, Coatue Management, Dragonfly Capital Partners",2018,None,12,1,79420000.0,1000001-1000000000,4
Scandit,1.0,2022,Switzerland,Zurich,"Supply chain, logistics, & delivery","Atomico, NGP Capital, Google Ventures",2009,None,12,3,2730000000.0,1000000001-1000000000000,13
Payhawk,1.0,2022,United Kingdom,London,Fintech,"Earlybird Venture Capital, Eleven Ventures, QED Investors",2018,None,15,2,236500000.0,1000001-1000000000,4
Axelar,1.0,2022,Canada,Waterloo,Internet software & services,"Lemniscap VC, North Island Ventures, Polychain Capital",2020,None,26,1,63750000.0,1000001-1000000000,2
Hasura,1.0,2022,India,Bengaluru,Internet software & services,"Nexus Venture Partners, Vertex Ventures, STRIVE",2017,None,11,1,136510000.0,1000001-1000000000,5
Scalapay,1.0,2022,Italy,Milan,Fintech,"Fasanara Capital, Tiger Global Management, Baleen Capital",2019,None,10,2,7000000000.0,1000000001-1000000000000,3
